"2601, Australia",-35.2811197,149.1228719
"121 Maitland Road, Mayfield, NSW 2304, Australia",-32.9051163,151.746341
"Unit 201 Berry Street, Nowra, NSW 2541, Australia",-34.879232,150.5996276
"239 Peel Street, Tamworth, NSW 2340, Australia",-31.0978285,150.9363406
"91 Peter Street, Wagga Wagga, NSW 2650, Australia",-35.1172978,147.3676612
"2430, Australia",-31.9581636,152.5121099
"165 Lambton Road, Broadmeadow, NSW 2292, Australia",-32.9236241,151.7231459
"2037, Australia",-33.8810253,151.185993
"2570, Australia",-34.0175979,150.7164221
"2120, Australia",-33.7300471,151.0763892
"19 Earls Court, Goonellabah, NSW 2480, Australia",-28.8181265,153.3452333
"2518, Australia",-34.3789419,150.9036889
"2609, Australia",-35.320036,149.1752869
"4217, Australia",-28.0020417,153.4152187
"2/12 Ken Tubman Drive, Maitland, NSW 2320, Australia",-32.7353269,151.5580183
"2/34 Jindalee Road, Port Macquarie, NSW 2444, Australia",-31.4518522,152.8845455
"2163, Australia",-33.8849112,150.9745188
"1/45 Fitzmaurice Street, Wagga Wagga, NSW 2650, Australia",-35.1047849,147.3691518
"68 Matcham Road, Matcham, NSW 2250, Australia",-33.4058847,151.4392323
"2022, Australia",-33.8921368,151.2501162
"St Leonards, NSW 1585, Australia",-33.8225666,151.1923402
"2232, Australia",-34.0457659,151.0571269
"4/335 Hillsborough Road, Warners Bay, NSW 2282, Australia",-32.9640662,151.6601061
"2018, Australia",-33.9180427,151.2063243
"78 Reynolds Avenue, Bankstown, NSW 2200, Australia",-33.9102875,151.0302601
"2488, Australia",-28.3336119,153.5633078
"2035, Australia",-33.9419947,151.2378028
"2489, Australia",-28.3854679,153.5621988
"2145, Australia",-33.8095965,150.9764645
"4006, Australia",-27.449251,153.0394986
"66 Belford Street, Broadmeadow, NSW 2292, Australia",-32.9242961,151.7402124
"2912, Australia",-35.1877472,149.1326138
"432 Swift Street, Albury, NSW 2640, Australia",-36.0790701,146.9199353
"26 Maryborough Street, Fyshwick, ACT 2609, Australia",-35.3256614,149.1750292
"1/20 Banna Avenue, Griffith, NSW 2680, Australia",-34.286976,146.0380131
"2302, Australia",-32.9269879,151.7625837
"2216, Australia",-33.9514242,151.1418413
"121 Marius Street, Tamworth, NSW 2340, Australia",-31.0861518,150.9284087
"50 Peter Street, Wagga Wagga, NSW 2650, Australia",-35.1172978,147.3676612
"90 Smith Street, Wollongong, NSW 2500, Australia",-34.4219056,150.8969745
"2122, Australia",-33.7892172,151.0844336
"602 Olive Street, Albury, NSW 2640, Australia",-36.0740542,146.9193502
